id,studentID,subjectID,caID,score,active
86,508,32,46,0.6,
87,507,32,46,0.6,
88,502,32,46,0.7,
89,499,32,46,0.7,
90,488,32,46,0.75,
91,504,32,46,0.8,
92,498,32,46,0.6,
93,496,32,46,0.65,
94,487,32,46,0.7,
95,494,32,46,0.6,
96,497,32,46,0.65,
97,501,32,46,0.7,
98,490,32,46,0.6,
99,495,32,46,0.55,
100,491,32,46,0.55,
101,506,32,46,0.6,
102,492,32,46,0.7,
103,493,32,46,0.95,
104,508,32,47,0.7,
105,507,32,47,0.1,
106,502,32,47,0.6,
107,499,32,47,0.7,
108,488,32,47,0.75,
109,504,32,47,0.8,
110,498,32,47,0.85,
111,496,32,47,0.9,
112,487,32,47,0.65,
113,494,32,47,0.65,
114,497,32,47,0.65,
115,501,32,47,0.65,
116,490,32,47,0.55,
117,495,32,47,0.6,
118,491,32,47,0.55,
119,506,32,47,0.55,
120,492,32,47,0.6,
121,493,32,47,0.55,
122,508,32,48,0.933333333333,
123,507,32,48,0.75,
124,502,32,48,0.566666666667,
125,499,32,48,0.9,
126,488,32,48,0.933333333333,
127,504,32,48,0.9,
128,498,32,48,0.716666666667,
129,487,32,48,0.75,
130,494,32,48,0.716666666667,
131,497,32,48,0.366666666667,
132,501,32,48,0.366666666667,
133,495,32,48,0.9,
134,491,32,48,0.383333333333,
135,492,32,48,0.566666666667,
136,493,32,48,0.55,
137,508,33,46,0.55,
138,507,33,46,0.55,
139,502,33,46,0.55,
140,499,33,46,0.55,
141,488,33,46,0.55,
142,504,33,46,0.6,
143,498,33,46,0.6,
144,496,33,46,0.6,
145,487,33,46,0.6,
146,494,33,46,0.6,
147,497,33,46,0.6,
148,490,33,46,0.65,
149,495,33,46,0.7,
150,491,33,46,0.7,
151,506,33,46,0.8,
152,492,33,46,0.85,
153,493,33,46,0.95,
154,501,33,46,0.9,
155,508,33,47,0.5,
156,507,33,47,0.45,
157,502,33,47,0.4,
158,499,33,47,0.35,
159,488,33,47,0.4,
160,504,33,47,0.45,
161,498,33,47,0.4,
162,496,33,47,0.35,
163,487,33,47,0.4,
164,494,33,47,0.45,
165,497,33,47,0.55,
166,501,33,47,0.6,
167,490,33,47,0.65,
168,495,33,47,0.7,
169,491,33,47,0.6,
170,506,33,47,0.65,
171,492,33,47,0.6,
172,493,33,47,0.45,
173,496,32,48,0.266666666667,
174,490,32,48,0.983333333333,
175,506,32,48,0.383333333333,
176,508,33,48,0.55,
177,507,33,48,0.55,
178,502,33,48,0.75,
179,499,33,48,0.9,
180,488,33,48,0.1,
181,504,33,48,0.1,
182,498,33,48,0.766666666667,
183,496,33,48,0.783333333333,
184,487,33,48,0.8,
185,494,33,48,0.75,
186,497,33,48,0.75,
187,501,33,48,0.566666666667,
188,490,33,48,0.566666666667,
189,495,33,48,0.383333333333,
190,491,33,48,0.716666666667,
191,506,33,48,0.35,
192,492,33,48,0.9,
193,493,33,48,0.716666666667,
194,508,34,46,0.6,
195,507,34,46,0.65,
196,502,34,46,0.7,
197,499,34,46,0.65,
198,488,34,46,0.6,
199,504,34,46,0.55,
200,498,34,46,0.75,
201,496,34,46,0.8,
202,487,34,46,0.85,
203,494,34,46,0.6,
204,497,34,46,0.65,
205,501,34,46,0.7,
206,490,34,46,0.6,
207,495,34,46,0.6,
208,491,34,46,0.6,
209,506,34,46,0.7,
210,492,34,46,0.55,
211,493,34,46,0.75,
212,508,34,47,0.55,
213,507,34,47,0.6,
214,502,34,47,0.65,
215,499,34,47,0.55,
216,488,34,47,0.6,
217,504,34,47,0.65,
218,498,34,47,0.55,
219,496,34,47,0.6,
220,487,34,47,0.55,
221,494,34,47,0.75,
222,497,34,47,0.8,
223,501,34,47,0.85,
224,490,34,47,0.6,
225,495,34,47,0.65,
226,491,34,47,0.7,
227,506,34,47,0.75,
228,492,34,47,0.8,
229,493,34,47,0.85,
230,508,34,48,0.183333333333,
231,507,34,48,0.183333333333,
232,502,34,48,0.2,
233,499,34,48,0.216666666667,
234,488,34,48,0.233333333333,
235,504,34,48,0.25,
236,498,34,48,0.2,
237,496,34,48,0.216666666667,
238,487,34,48,0.233333333333,
239,494,34,48,0.2,
240,497,34,48,0.933333333333,
241,501,34,48,0.716666666667,
242,490,34,48,0.566666666667,
243,495,34,48,0.583333333333,
244,491,34,48,0.75,
245,506,34,48,0.733333333333,
246,493,34,48,0.9,
247,492,34,48,0.566666666667,
248,508,35,46,0.55,
249,507,35,46,0.8,
250,502,35,46,0.65,
