id,studentID,classID,active
8,508,29,0
9,507,29,0
10,506,28,0
11,505,27,0
12,504,29,0
13,502,29,0
14,501,25,0
15,499,29,0
16,498,29,0
17,497,27,0
19,495,25,0
20,494,27,0
21,493,27,0
22,492,27,0
23,491,27,0
24,490,25,0
25,489,27,0
26,488,27,0
27,487,27,0
28,5,29,0
29,0,29,0
30,8,29,0
31,4,28,0
32,9,28,0
33,494,28,0
34,496,28,0
35,503,29,0
36,508,28,0
37,1823,31,0
38,2008,31,0
39,2114,31,0
40,2509,31,0
41,3132,31,0
42,3877,31,0
43,48,25,0
44,299,25,0
45,1767,25,0
46,2147,25,0
47,2261,25,0
48,2996,25,0
49,3232,25,0
50,3823,25,0
51,10,27,0
52,11,27,0
53,12,27,0
54,13,27,0
55,15,27,0
56,21,27,0
57,22,27,0
58,23,27,0
59,25,27,0
60,26,27,0
61,33,27,0
62,34,27,0
63,35,27,0
64,36,27,0
65,4044,26,0
